Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
information technology (IT) development manager,"May 24, 2024",2024-06-24,"May 24, 2024",Xerox,Winnipeg (MB),Salary not available,34E98997BAF948CBB73673F745234992,https://job-openings.monster.ca/it-project-manager-winnipeg-mb-ca-xerox/dc58c1d8-4cb0-4db0-8726-7415207f4b15?mescoid=1500145001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #34E98997BAF948CBB73673F745234992,Not specified
"manager, information technology (IT) integration","May 29, 2024",2024-07-28,"May 29, 2024",Superior North Catholic District School Board,Terrace Bay (ON),Salary not available,2773714,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=dcef304f-81b9-46c0-bae7-a87124bfb51e&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Terrace Bay , ON",Not available,Permanent employment,Starts as soon as possible,1 vacancy,ApplyToEducation #2773714,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771383,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=adff7e50-5f5d-4695-acc9-f184904b59b7&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771383,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771405,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=d2b473f2-d409-4f26-b5d1-ad70f850f93c&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771405,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771410,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=a1aa48db-0d57-4914-ac0b-97156f5ffc8a&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771410,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771434,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=e98cde45-9de5-4be1-9bda-4ea99f4d2ed7&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771434,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Waterloo (ON),Salary not available,2771409,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=46b8cd2d-618f-4547-bd94-9b98f44e55fb&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771409,Not specified
help desk manager - information technology (IT),"May 25, 2024",2024-07-24,"May 25, 2024",Pythagoras Academy,Richmond (BC),Salary not available,2773282,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=31ada049-75e9-46d6-8f0e-097053dc88f7&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2773282,Not specified
information technology (IT) business analyst,"May 24, 2024",2024-06-24,"May 24, 2024",Toronto Parking Authority,Toronto (ON),Salary not available,x9m87GFSuc,https://job-openings.monster.ca/analyst-business-intelligence-reporting-toronto-on-ca-toronto-parking-authority/7aa565d0-fa16-46b7-a19a-f7252238a74e?mescoid=1500144001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #x9m87GFSuc,Not specified
director of technology management,"June 07, 2024",2024-07-06,"June 07, 2024",National Bank,Montréal (QC),Salary not available,13969149,https://www.jobillico.com/en/job-offer/national-bank/it-asset-management-manager/13969149?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13969149,Not specified
