,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
23,receptionist,"June 01, 2024",Not specified,"June 01, 2024",ParkvilleManor,Saskatoon (SK),Salary:$18.00 to $20.00 hourly,9304731624,https://ca.indeed.com/viewjob?jk=4f53c0d22956bbd1&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",$ 18.00 to $ 20.00 HOUR hourly,Permanent employment Part time,Starts as soon as possible,1 vacancy,indeed.com #9304731624,Not specified
24,receptionist,"June 10, 2024",Not specified,"June 10, 2024",PJL Investments Inc,Petawawa (ON),Salary:$17.00 hourly,9317023851,https://ca.indeed.com/viewjob?jk=09aea431315eeb1a&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Petawawa , ON",$ 17.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9317023851,Not specified
25,receptionist,"June 07, 2024",Not specified,"June 07, 2024",Oshawa Physiotherapy and Rehabilitation Centre,Oshawa (ON),Salary:$16.55 to $17.00 hourly,9314173016,https://ca.indeed.com/viewjob?jk=6476c7d4d746b312&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Oshawa , ON",$ 16.55 to $ 17.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9314173016,Not specified
26,receptionist,"June 01, 2024",Not specified,"June 01, 2024",Sutherland-Chan Yonge & Wellesley Clinic,Toronto (ON),Salary:$17.00 hourly,9304596236,https://ca.indeed.com/viewjob?jk=25f6b8a3e3e88d33&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 17.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9304596236,Not specified
27,receptionist,"May 22, 2024",Not specified,"May 22, 2024",Curious Hair (Tuscany Location),Calgary (AB),Salary:$15.00 hourly,9290289889,https://ca.indeed.com/viewjob?jk=f4ee7fc9276b2572&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 15.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9290289889,Not specified
28,receptionist,"May 28, 2024",Not specified,"May 28, 2024",Fittopia Fitness Center,Richmond (BC),Salary:$20.00 to $31.00 hourly,9298140985,https://ca.indeed.com/viewjob?jk=7be20f8a2f9ded90&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",$ 20.00 to $ 31.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9298140985,Not specified
29,receptionist,"May 15, 2024",2024-06-15,"May 15, 2024","Thomas Talent Network, LLC",Brampton (ON),Salary not available,EDD51B5C6F,https://job-openings.monster.ca/medical-clinic-receptionist-brampton-on-ca-thomas-talent-network-llc/94ddd3d9-5d90-4b3f-bed9-93257ce5b634?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brampton , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #EDD51B5C6F,Not specified
30,receptionist,"June 04, 2024",Not specified,"June 04, 2024",Mayfair Clubs,North York (ON),Salary:$16.55 hourly,9309246827,https://ca.indeed.com/viewjob?jk=5e70fd82557c0fa2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North York , ON",$ 16.55 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9309246827,Not specified
31,receptionist,"June 11, 2024",2024-07-12,"June 11, 2024",JYSK Canada,Coquitlam (BC),Salary not available,acf89c3a-3110-4567-8923-7c36fa702ef5,https://job-openings.monster.ca/administrative-receptionist-coquitlam-bc-ca-jysk-canada/21c2ea34-786c-470c-bc19-6866dc0c2a02?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Coquitlam , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #acf89c3a-3110-4567-8923-7c36fa702ef5,Not specified
32,receptionist,"June 04, 2024",2024-07-05,"June 04, 2024",Leggat Kia,Burlington (ON),Salary not available,BKnwN5IqNbvE,https://job-openings.monster.ca/part-time-receptionist-burlington-on-ca-leggat-kia/25ec528f-77f9-4fa4-8167-c76e03e9e691?mescoid=4301136002005,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burlington , ON",Not available,Term or contract Part time,Starts as soon as possible,1 vacancy,Monster #BKnwN5IqNbvE,Not specified
