,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
22,administrative assistant,"June 10, 2024",2024-07-09,"June 10, 2024",Rocky View Schools,Airdrie (AB),Salary not available,13982352,https://www.jobillico.com/en/job-offer/rocky-view-schools/term-administrative-assistant-iii-school-w.h-croxford/13982352?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Airdrie , AB",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13982352,Not specified
23,administrative assistant,"June 11, 2024",2024-08-10,"June 11, 2024",Rocky View Schools,Various locations,Salary not available,2777139,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=58786b5c-4d42-4e7a-9479-feed3e6ba9ad&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Various locations Abbeydale , , AB Airdrie , , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2777139,Not specified
24,administrative assistant,"June 11, 2024",2024-07-10,"June 11, 2024",Brandev Properties,Montréal (QC),Salary:$27.52 hourly,b0907604,https://www.ziprecruiter.com/k/t/AAJ8pZC9-qZsPFT0LwIxmYhe77ykn9SAl28vwp-YK-jIN9i3bxUCN3YIcxbeYQyp0lOxB9nFuOEJjIC7Q90IyfbSsyV75Va4FTLQA2f76MGWPbTFsev-ds6Kpl7tIr0j3Ln_IS1qvcIhcOKZ86MpT6jueOXvP88rLZDnYo-hCNOGzyeDqnwkkqvMm9SAIyPoC3MRECsOn4aHH2WRw_rxyedb-MyqkYFLHcgueoNl7yyaSKvG5EBIOrw_PiPskFkZN9XvK5nEmSGUIcURyGhfReEo0CJwhbZLc4cyWhFpfwFWSPvRADoMcw6ZYGNd90VIpMJh9ZdQnEUQB12wkP4_ZyHT,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",$ 27.52 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #b0907604,Not specified
25,administrative assistant,"June 07, 2024",2024-07-08,"June 07, 2024",Pomerleau,Vancouver (BC),Salary not available,uSUMJxtPVK,https://job-openings.monster.ca/project-administrative-assistant-vancouver-bc-ca-pomerleau/245480d7-7994-4cb7-8ce7-3fac9db2164d?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #uSUMJxtPVK,Not specified
26,administrative assistant,"May 17, 2024",2024-06-17,"May 17, 2024",Vancouver Coastal Health,North Vancouver (BC),Salary not available,f8ee4e71a5394727aa2821f64456068c,https://job-openings.monster.ca/analyst-administrative-assistant-medical-affairs-north-vancouver-bc-ca-vancouver-coastal-health/6638647d-96dc-4ca4-b987-5125ae55cbf0?mescoid=4300748001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #f8ee4e71a5394727aa2821f64456068c,Not specified
27,administrative assistant,"May 24, 2024",2024-07-23,"May 24, 2024",Prairie South School Division #210,Moose Jaw (SK),Salary not available,2772979,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=033f6626-3391-47f4-8d5b-a8114c3d4248&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Moose Jaw , SK",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2772979,Not specified
28,administrative assistant,"June 11, 2024",2024-07-10,"June 11, 2024",PK Developments,Edmonton (AB),"Salary:$66,011.76 annually",491ebd9f,https://www.ziprecruiter.com/k/t/AAJtkHu7cG9vhqKPjRkNk-T6yhQ3a5QDHp3PTsXyH_CChn60q_9r9dHXHKv1MLs95CgBWYHNzY5KUfMIwO9PGwfbYkZmCLWQJiVlw8Yka2TI0baLk2-r3uOficMvaBpV5Ak5om-1BJqNBO3ff7h2I3LLN5AXo5vUPdEyRH2IpSMG_SX7GlW7no8WI7XudNty6NWZw72WfBt848WsP86fL35k76on-lUhC8yXKBlFhbMWFi-_ASj6jin-fYRP64DbZRcPXpI3SmnkwYS6zoOEIF7565F3WuCOgPNvXQGYc_yeDb6lGGrZZaBdtz6_RNOiarAwAmYkHkAg,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB","$ 66,011.76 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #491ebd9f,Not specified
29,administrative assistant,"June 06, 2024",2024-07-07,"June 06, 2024",House of Commons (Canada) / Chambre des communes (Canada),Ottawa (ON),Salary not available,e7e422f6-c10d-4746-8e43-aadf5774079c,https://job-openings.monster.ca/senior-administrative-assistant-ottawa-on-ca-house-of-commons-canada-chambre-des-communes-canada/5371a609-87a9-4e5c-820a-2395aaf6adf9?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #e7e422f6-c10d-4746-8e43-aadf5774079c,Not specified
30,administrative assistant,"June 10, 2024",2024-07-09,"June 10, 2024",Rocky View Schools,Airdrie (AB),Salary not available,13982352,https://www.jobillico.com/en/job-offer/rocky-view-schools/term-administrative-assistant-iii-school-w.h-croxford/13982352?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Airdrie , AB",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13982352,Not specified
31,administrative assistant,"May 27, 2024",Not specified,"May 27, 2024",A Better World Canada,Lacombe (AB),Salary:$20.00 to $22.00 hourly,9296306509,https://ca.indeed.com/viewjob?jk=4a0d2c3308072bde&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lacombe , AB",$ 20.00 to $ 22.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9296306509,Not specified
