,Job Title,Original Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
23,administrative coordinator,,"May 22, 2024",2024-06-22,"May 22, 2024",Duliban Insurance,Location,Salary not available,669375000006649198,https://job-openings.monster.ca/administrative-coordinator-niagara-regional-municipality-fonthill-on-ca-duliban-insurance/23021ec7-b572-4ad0-9ea8-4bd0fc748c21?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Niagara Regional Municipality (Fonthill),Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #669375000006649198,Not specified
24,administrative coordinator,Title posted on Québec emploi -coordonnateur coordonnatrice - accompagnement-transport médical,"June 06, 2024",2024-06-21,"June 06, 2024",Entraide Bénévole des Pays-d'en-Haut,Sainte-Adèle (QC),Salary: $22.00 hourly,446692,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=446692,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Adèle , QC",$ 22.00 HOUR hourly / 37.5 hours per week,Permanent employment Full time,Starts as soon as 2024-08-02,1 vacancy,Québec emploi #446692,Not specified
25,administrative services coordinator,Title posted on CareerBeacon -ScotiaMcLeod Administrative Associate - Toronto,"June 12, 2024",2024-07-11,"June 12, 2024",Scotiabank,Toronto (ON),Salary not available,1988051,https://www.careerbeacon.com/en/job/1988051/scotiabank/scotiamcleod-administrative-associate-toronto/toronto?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1988051,Not specified
26,administrative coordinator,Title posted on Québec emploi -coordonnateur administratif coordonnatrice administrative,"June 03, 2024",2024-07-04,"June 03, 2024",SEIGNEURIE MON TOIT,Causapscal (QC),Salary: $22.00 weekly,446446,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=446446,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Causapscal , QC",$ 22 WEEKLY weekly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-07-03,1 vacancy,Québec emploi #446446,Not specified
27,administrative services coordinator,,"May 30, 2024",2024-06-29,"May 30, 2024",Canadian Red Cross,Vancouver (BC),Salary: $20.00 hourly,2038355,https://www.careerbeacon.com/en/job/2038355/canadian-red-cross/administrative-services-coordinator/vancouver?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",$ 20.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2038355,Not specified
28,administrative services coordinator,Title posted on CareerBeacon -ScotiaMcLeod Administrative Associate - Toronto Plaza,"June 04, 2024",2024-07-09,"June 04, 2024",Scotiabank,Toronto (ON),Salary not available,1992683,https://www.careerbeacon.com/en/job/1992683/scotiabank/scotiamcleod-administrative-associate-toronto-plaza/toronto?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1992683,Not specified
29,administrative coordinator,Title posted on Québec emploi -Coordination des dons majeurs et planifiés,"May 31, 2024",2024-06-21,"May 31, 2024",FONDATION SANTE GATINEAU,Gatineau (QC),"Salary: $37,880.22 annually",446113,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=446113,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Gatineau , QC","$ 37,880.22 YEAR annually / 35 hours per week",Permanent employment Full time,Starts as soon as 2024-08-08,1 vacancy,Québec emploi #446113,Not specified
30,administrative coordinator,Title posted on Québec emploi -Assistant coordonnateur de site patrimonial,"May 31, 2024",2024-07-01,"May 31, 2024",LES AMIS DE L'EGLISE          PATRIMONIALE DE L'ACADIE,Saint-Jean-sur-Richelieu (QC),Salary: $15.75 hourly,445741,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445741,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Jean-sur-Richelieu , QC",$ 15.75 HOUR hourly / 35 hours per week,Seasonal employment Full time,Starts as soon as 2024-07-26,1 vacancy,Québec emploi #445741,Not specified
31,administrative coordinator,Title posted on Québec emploi -coordonnatrice teur des services d'intervention de proximité,"May 29, 2024",2024-07-01,"May 29, 2024",SERVICE D'INTERVENTION DE PROXIMITE DOMAINE-DU-ROY,Roberval (QC),Salary: $31.55 hourly,445529,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445529,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Roberval , QC",$ 31.55 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-10-03,1 vacancy,Québec emploi #445529,Not specified
32,administrative coordinator,Title posted on Québec emploi -ACVSAD--930 Coordonnateur aux relations citoyennes,"May 29, 2024",2024-06-30,"May 29, 2024",VILLE DE SAINT-AUGUSTIN-DE-   DESMAURES,Saint-Augustin-de-Desmaures (QC),"Salary: $86,428.00 annually",445654,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445654,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Augustin-de-Desmaures , QC","$ 86,428 YEAR annually / 35 hours per week",Permanent employment Full time,Starts as soon as 2024-08-02,1 vacancy,Québec emploi #445654,Not specified
33,administrative coordinator,Title posted on Québec emploi -Coordonnateur  Coordonnatrice,"May 29, 2024",2024-06-24,"May 29, 2024",DROIT A L'EMPLOI (D.E.),Saint-Jean-sur-Richelieu (QC),"Salary: $51,575.00 annually",445648,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445648,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Jean-sur-Richelieu , QC","$ 51,575 YEAR annually / 35 hours per week",Permanent employment Full time,Starts as soon as 2024-08-02,1 vacancy,Québec emploi #445648,Not specified
34,administrative coordinator,"Title posted on Jobillico -La coordonnatrice ou le coordonnateur des opérations - réinstallation payée à Cold Lake, AB","June 05, 2024",2024-07-04,"June 05, 2024",Canadian Forces Morale and Welfare Services - CFMWS,Cold Lake (AB),"Salary: $63,200.00 to $74,360.00 hourly",13947930,https://www.jobillico.com/en/job-offer/canadian-forces-morale-and-welfare-services-cfmw/la-coordonnatrice-ou-le-coordonnateur-des-op-eacute-rations-r-eacute-installation-pay-eacute-e-agrave-cold-lake-ab/13947930?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cold Lake , AB","$ 63,200.00 to $ 74,360.00 HOUR hourly",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13947930,Not specified
35,administration services coordinator,Title posted on Jobillico -Student Services & Recruitment Coordinator,"May 31, 2024",2024-06-29,"May 31, 2024",School District #42 (Maple Ridge-Pitt  Meadows),Maple Ridge (BC),Salary not available,13916700,https://www.jobillico.com/en/job-offer/school-district-42-maple-ridge-pitt-meadows/student-services-amp-recruitment-coordinator/13916700?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Maple Ridge , BC",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13916700,Not specified
36,administrative coordinator,Title posted on Québec emploi -Coordonnateur administratif Coordonnatrice administrative,"May 27, 2024",2024-06-21,"May 27, 2024",ASSOCIATION QUEBECOISE POUR   DEFENSE DROITS RETR BRANDON,Saint-Gabriel-de-Brandon (QC),Salary: $30.00 hourly,445279,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445279,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Gabriel-de-Brandon , QC",$ 30.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-08-22,1 vacancy,Québec emploi #445279,Not specified
37,administrative coordinator,Title posted on Jobillico -Coordonnateur de mandats,"May 31, 2024",2024-06-29,"May 31, 2024",Minister of Public Security,Québec (QC),"Salary: $71,262.00 to $99,113.00 annually",13913283,https://www.jobillico.com/en/job-offer/minister-of-public-security/coordonnateur-de-mandats/13913283?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Québec , QC","$ 71,262 to $ 99,113 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13913283,Not specified
38,administrative services coordinator,Title posted on CareerBeacon -Medical Staff Coordinator,"May 22, 2024",2024-06-21,"May 22, 2024",Vitalité Health Network,Bathurst (NB),"Salary: $45,474.00 annually",168391,https://www.careerbeacon.com/en/job/1935391/vitalite-health-network/medical-staff-coordinator/bathurst?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bathurst , NB","$ 45,474 YEAR annually",Not available,Starts as soon as possible,1 vacancy,CareerBeacon #168391,Not specified
