Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Division Crewperson (Special Works Crew) (Traffic Control Crew) (Bible Hill) (2 Positions) , https://jobs.novascotia.ca/job/BIBLE-HILL-Division-Crewperson-%28Special-Works-Crew%29-%28Traffic-Control-Crew%29-%28Bible-Hill%29-%282-Positions%29-NS-B2N-4L7/582189017/ ,Public Works Location: BIBLE HILL, NS, CA, B2N 4L7 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0BIBLE HILL', 'Type of Employment': 'Zone:\xa014, 15 and 16', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Survey Assistant (Summer Works Period) (Colchester) , https://jobs.novascotia.ca/job/BIBLE-HILL-Survey-Assistant-%28Summer-Works-Period%29-%28Colchester%29-NS-B2N-2C1/582202517/ ,Public Works Location: BIBLE HILL, NS, CA, B2N 2C1 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0BIBLE HILL', 'Type of Employment': 'Zone:\xa014', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Division Crewperson (Year Round) (Londonderry) , https://jobs.novascotia.ca/job/LONDONDERRY-Division-Crewperson-%28Year-Round%29-%28Londonderry%29-NS-B0M-1M0/582188217/ ,Public Works Location: LONDONDERRY, NS, CA, B0M 1M0 Shift Type: 09-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0LONDONDERRY', 'Type of Employment': 'Zone:\xa016', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Administrative Assistant (Secretary 2) , https://jobs.novascotia.ca/job/HALIFAX-Administrative-Assistant-%28Secretary-2%29-NS-B3B-0K5/582211717/ ,Community Services Location: HALIFAX, NS, CA, B3B 0K5 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43404', 'Department': 'Community Services', 'Location': 'Halifax, Dartmouth', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Wildfire Prevention Officer (Forestry Technician 4) , https://jobs.novascotia.ca/job/SHUBENACADIE-Wildfire-Prevention-Officer-%28Forestry-Technician-4%29-NS-B0N-2H0/582188917/ ,Natural Resources & Renewables Location: SHUBENACADIE, NS, CA, B0N 2H0 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43383', 'Department': 'Natural Resources & Renewables', 'Location': 'SHUBENACADIE', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '08-Jul-24', 'Pay Grade': 'TE 27\xa0-', 'Salary Range': 'Salary Range:\xa0 $2,683.02\xa0- $3,116.30\xa0Bi-Weekly'}
Motor Vehicle Officer 2 (Compliance Station Inspector) (Designated) (Enfield) , https://jobs.novascotia.ca/job/ENFIELD-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Designated%29-%28Enfield%29-NS-B2T-1J6/582198717/ ,Public Works Location: ENFIELD, NS, CA, B2T 1J6 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43398', 'Department': 'Public Works', 'Location': 'ENFIELD', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Clerk 3 (Enrollment Clerk) , https://jobs.novascotia.ca/job/NEW-WATERFORD-Clerk-3-%28Enrollment-Clerk%29-NS-B1H-5V8/582205517/ ,Justice Location: NEW WATERFORD, NS, CA, B1H 5V8 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43351', 'Department': 'Justice', 'Location': 'NEW WATERFORD', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Motor Vehicle Officer 2 (Compliance Station Inspector) (Amherst) (2 Positions) , https://jobs.novascotia.ca/job/AMHERST-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Amherst%29-%282-Positions%29-NS-B4H-3Y5/582200917/ ,Public Works Location: AMHERST, NS, CA, B4H 3Y5 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43399', 'Department': 'Public Works', 'Location': 'AMHERST', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Deputy Sheriff 1-2 (Relief Roster) , https://jobs.novascotia.ca/job/Multiple-Locations-Deputy-Sheriff-1-2-%28Relief-Roster%29-NS-B3J-1V7/579610717/ ,Justice Location: Multiple Locations, NS, CA, B3J 1V7 Shift Type: 30-Jun-24 Additional Data: {'Competition': '42336', 'Department': 'Justice', 'Location': 'Multiple Locations', 'Type of Employment': 'Casual', 'Union Status': 'Not found', 'Closing Date': '30-Jun-24', 'Pay Grade': 'TE 19\xa0- TE 21', 'Salary Range': 'Salary Range:\xa0 $27.66\xa0- $35.23\xa0Hourly'}
Crown Attorney , https://jobs.novascotia.ca/job/SHELBURNE-Crown-Attorney-NS-B0T-1W0/579822017/ ,Public Prosecution Service Location: SHELBURNE, NS, CA, B0T 1W0 Shift Type: 02-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': 'Not found', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'CA 01\xa0- SCA 10', 'Salary Range': 'Salary Range:\xa0 $3,185.77\xa0- $5,877.68\xa0Bi-Weekly'}
Correctional Officer (Casual Relief) , https://jobs.novascotia.ca/job/Multiple-Locations-Correctional-Officer-%28Casual-Relief%29-NS-B3J-1T0/575497217/ ,Justice Location: Multiple Locations, NS, CA, B3J 1T0 Shift Type: 03-Nov-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': '03-Nov-24', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'Not found', 'Salary Range': 'Not found'}
Dispatch Operator 1 (Temporary and Relief Opportunities) , https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-%28Temporary-and-Relief-Opportunities%29-NS-B0N-2H0/581191317/ ,Service Nova Scotia Location: SHUBENACADIE, NS, CA, B0N 2H0 Shift Type: 04-Jul-24 Additional Data: {'Competition': '42892', 'Department': 'Service Nova Scotia', 'Location': 'SHUBENACADIE', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'TE 17', 'Salary Range': 'Salary Range:\xa0 $1,792.63\xa0- $2,105.04\xa0Bi-Weekly'}
Team Lead (Dispatch Operator 2) , https://jobs.novascotia.ca/job/SHUBENACADIE-Team-Lead-%28Dispatch-Operator-2%29-NS-B0N-2H0/581027717/ ,Service Nova Scotia Location: SHUBENACADIE, NS, CA, B0N 2H0 Shift Type: 04-Jul-24 Additional Data: {'Competition': '42894', 'Department': 'Service Nova Scotia', 'Location': 'SHUBENACADIE', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'TE 21', 'Salary Range': 'Salary Range:\xa0 $2,105.04\xa0- $2,466.26\xa0Bi-Weekly'}
